GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	41.441396471234725	2.177653998827573e-08	7.662011122898417	NA	0.031867507308835	3.14606e-08	NA	18.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GBA	41.477800277237954	2.3311663426355616e-07	6.632426735869715	0.0170296	0.126662660951786	4.56412e-07	8.0	17.0	25.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LRRK2	35.48914241898551	3.4640643515085026e-06	5.460414048743186	0.727242	6.15428540129415e-07	0.0439313	46.0	115.0	104.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
STK38L	30.291995155232595	4.268170031336271e-06	5.369758287888566	NA	1.3832051563023e-06	0.191113	NA	9.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ADH5	33.57648747192892	8.120165600081432e-06	5.090435113804611	0.403599	0.0506533515212384	2.50265e-06	6.0	29.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
C11orf87	27.60072855089178	1.5026241052697688e-05	4.823149648438046	NA	0.875021821449121	1.16027e-06	NA	6.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CD69	20.728660146347494	3.153759999999998e-05	4.501171359403284	NA	NA	3.15376e-05	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CSTF2T	29.0116536171806	6.052877666515701e-05	4.218038103436542	0.10824	1.0	4.63246e-06	4.0	34.0	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FKBP1A	19.3899473904759	6.159230000000006e-05	4.210473578039021	NA	NA	6.15923e-05	NA	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LOC100288637	19.377103989653122	6.198910000000004e-05	4.207684668985918	NA	NA	6.19891e-05	NA	NA	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GOLGA8K	18.83160728924564	8.142699999999999e-05	4.0892315655442175	NA	NA	8.1427e-05	NA	NA	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KIF9	27.975278593862715	9.497537125325042e-05	4.022389000137833	0.54681	0.879487170586856	1.75057e-06	20.0	59.0	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DIAPH2	23.61323578267065	9.547407328531754e-05	4.020114548393515	NA	6.60505323958338e-05	0.112869	NA	9.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LURAP1L	27.642744940496314	0.00010969164982041895	3.9598264314493643	9.38138e-05	0.0237021986912571	0.447094	8.0	18.0	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GOLGA8T	18.157326394703688	0.00011407399999999998	3.9428133296680383	NA	NA	0.000114074	NA	NA	41.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
IL12A	18.061858771875333	0.00011965123930189996	3.9220827987706506	NA	0.0001196512393019	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SLC6A14	23.00216417132233	0.00012650017350119256	3.8979088788315712	NA	0.847953500886033	1.19336e-05	NA	11.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OTX1	22.981754128699265	0.00012769339470614132	3.893831567238285	NA	2.57926898675764e-05	0.39635	NA	17.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RAP1A	22.778098698526946	0.00014022863169854075	3.853163303636419	NA	0.0920448597787588	0.00012297	NA	6.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TTC12	26.93673904274123	0.00014881281665518313	3.8273596631253675	0.791381	0.0004878248512421	0.00366532	16.0	30.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RFFL	22.54301325699812	0.00015622292135327828	3.8062552451902825	NA	0.722238745728924	1.76265e-05	NA	21.0	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FIBCD1	26.391752859032167	0.00018816889778638742	3.725452158995937	0.681854	0.0674334035154377	4.04145e-05	23.0	59.0	43.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CENPX	17.097563805058908	0.0001937809999999997	3.712688807262925	NA	NA	0.000193781	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DCAF15	26.28570595114797	0.000196943375124594	3.7056586236145397	0.0998232	0.0385732571711362	0.000508878	7.0	26.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
JADE1	26.192662104443468	0.00020497363475745553	3.688301997557562	0.0223012	0.446329524872197	0.00020623	4.0	23.0	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PRKG1	25.866170702708462	0.00023579162602462863	3.6274716226330983	0.27969	0.886837472054823	9.74342e-06	14.0	38.0	68.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SLC2A13	25.86129622898401	0.00023628474520582672	3.6265643159757066	0.0886198	0.0203195994920912	0.00134538	15.0	34.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
BOLA1	25.396629751229213	0.0002882733736221481	3.540195469380776	0.125625	0.0003752555255257	0.0648319	4.0	14.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CCDC144A	21.138212713890105	0.00029730022930461904	3.5268047558280515	NA	0.0653033172164794	0.000393514	NA	21.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ZNF454	25.230989838270702	0.00030940936003390706	3.5094665524673245	0.291892	0.51725988461814	2.19902e-05	4.0	12.0	14.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PCBD1	25.055823657612656	0.00033342275206332513	3.477004768160042	0.10414	3.48000164821505e-05	1.0	5.0	10.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CETN3	20.81784445491349	0.00034411779680426055	3.4632928663095552	NA	0.0413853281770873	0.000728813	NA	11.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KIF2C	24.945999494278187	0.0003494053892513789	3.4566704007151796	0.0144928	0.765646545957659	0.000345036	6.0	29.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CNOT8	20.683676001622455	0.0003658307971066864	3.4367197366657924	NA	0.0046148495732296	0.00698939	NA	7.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
UROS	20.452074666831827	0.0004065508716561307	3.390885103459284	NA	0.653496177749959	5.54173e-05	NA	17.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
VIRMA	20.426867528336523	0.00041124506276341965	3.3858993029689577	0.061482	NA	0.000596505	24.0	NA	57.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FAM50A	15.48077967922584	0.00043490200000000025	3.3616085951238874	NA	NA	0.000434902	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
BMP3	20.119099718679852	0.0004730754994356226	3.325069543465792	NA	0.441479420581248	9.68908e-05	NA	22.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RRS1	24.185178616971523	0.00048283917158489315	3.3161975038748617	0.200032	0.0002848900685511	0.098283	9.0	26.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CYTL1	19.938512724453894	0.000513551686400208	3.2894158403066895	NA	0.563682293634021	8.30563e-05	NA	7.0	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MRPS18B	19.840177893634998	0.0005370148387149144	3.270013713773498	NA	0.127314904875765	0.000386261	NA	19.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
H3C12	14.94968884601432	0.000567174	3.246283685997306	NA	NA	0.000567174	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PURG	23.750870519554887	0.0005803229203257015	3.236330276282964	0.762815	0.295345035842724	3.08898e-05	4.0	12.0	17.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LRCH1	23.553966935316655	0.0006306667049311395	3.2002000963039166	0.623009	0.45942280401605	2.68296e-05	14.0	43.0	33.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MYEF2	23.51639831303492	0.0006407486601989101	3.1933122932495763	0.442099	0.0144913435486784	0.00122138	17.0	26.0	42.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KDM4C	23.429665470969205	0.000664633415003817	3.177417827988147	0.358578	0.368461018755232	6.18497e-05	13.0	54.0	39.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GATD1	19.285634298329537	0.0006906123220507557	3.1607656771436625	0.110064	NA	0.000589566	8.0	NA	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
IL17D	19.27003583915436	0.0006955095705888615	3.157696889503231	NA	0.143938581911435	0.000454347	NA	4.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TULP2	23.305873014926185	0.0007002464262050875	3.1547490989747557	0.534638	0.138047777340942	0.000117789	11.0	27.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FAH	23.236625633681097	0.000720978833945579	3.142077484844466	0.463523	0.026655854549832	0.000728395	8.0	28.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SEZ6L2	23.166086336464446	0.0007427179822535523	3.1291760610730273	0.622922	0.127803535838715	0.000117104	7.0	74.0	42.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ERI1	23.127883975572594	0.0007547588986951204	3.122191757892272	0.106584	0.0794463202161311	0.00112222	4.0	38.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ADRA2B	23.127400351090685	0.0007549125539185494	3.122103352410714	0.0577316	0.0002256049520975	0.729771	6.0	49.0	28.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RPS26	14.22933996662655	0.0008130890000000003	3.089861914315656	NA	NA	0.000813089	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FBL	18.911822977277257	0.0008179216752460769	3.0872882826820653	NA	0.0778241921945799	0.00100516	NA	22.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SH3KBP1	14.213737264351911	0.0008194570000000004	3.0864738305653283	NA	NA	0.000819457	NA	NA	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ATP6V0E2	22.7936757505722	0.0008686100093734471	3.0611751703794896	0.153004	0.0061632381073202	0.0119098	7.0	6.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DMWD	22.767717881677548	0.0008781274379085834	3.0564424526994944	0.902915	0.0402575924296065	0.00031301	5.0	19.0	31.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NIPSNAP1	22.561436484106153	0.0009574894125850603	3.0188660195330286	0.0562155	0.517297926422771	0.00043376	5.0	14.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ANKRD54	22.32035978138971	0.0010591868398497697	2.9750274238788204	0.163198	1.0	8.71928e-05	4.0	12.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KLF8	13.683860171923934	0.0010680399999999986	2.971412481901124	NA	NA	0.00106804	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
BCL2L15	13.681010944284228	0.0010695626288657	2.970793779980318	NA	0.0010695626288657	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
UBXN6	22.293393444191384	0.00107120131933897	2.9701289010994065	0.300183	0.0615844081847033	0.000780179	17.0	48.0	51.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NCAPD3	22.22854903339004	0.0011006417928331321	2.9583540004725175	0.676712	2.20154734342781e-05	1.0	22.0	74.0	50.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KAT2B	22.22194634742542	0.0011036836778426013	2.957155380096041	0.053847	0.0165321818836168	0.0167909	12.0	39.0	32.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CD44	22.167069453943252	0.0011292868251886875	2.9471957385212906	0.766031	0.393136077158676	5.10144e-05	5.0	36.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ANKRD37	18.131209296998286	0.0011633162494325794	2.9343022055527226	NA	0.0122301457427664	0.00944988	NA	10.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SDCBP2-AS1	13.497865344953889	0.0011721300000000004	2.9310242183933033	NA	NA	0.00117213	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RP11-542C16.2	13.494239148952323	0.0011742571143103005	2.9302367999364134	NA	0.0011742571143103	NA	NA	28.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SEC24B	22.0539430244468	0.0011839184274853717	2.926678219668336	0.672941	0.434314962593363	5.56244e-05	13.0	62.0	41.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KIR2DS3	18.087300288206357	0.0011865450241943867	2.925715777557742	0.0432279	NA	0.00273293	8.0	NA	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
COL4A6	13.464010535142442	0.0011921399999999995	2.923672739849806	NA	NA	0.00119214	NA	NA	29.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RNF10	22.035575256867943	0.0011930299191361604	2.923348664835269	0.69174	0.0239702494204043	0.00098951	19.0	57.0	55.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OR2M7	18.043347590966565	0.0012102556407763362	2.9171228845165893	NA	0.0304907561188901	0.00396067	NA	15.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
UNKL	21.90749906866745	0.001258502436139734	2.900145939431455	0.219855	0.0884436256813625	0.000899589	15.0	39.0	43.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MEI4	21.8557505862258	0.0012859440848053947	2.890777914917561	0.0231676	0.0013658387129862	0.567288	9.0	20.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RPS10-NUDT3	21.80057396484255	0.0013158497324411715	2.880793703501525	0.0896637	0.102546016685745	0.00200692	10.0	18.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SKP2	17.793028195225663	0.0013544883277939656	2.868224733116242	NA	0.0002531011286044	0.540753	NA	17.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ADPRM	17.792831359053867	0.0013546081691664048	2.8681863096441758	NA	0.0005952177961314	0.229964	NA	13.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TNNI1	17.78220195970157	0.0013610953242853489	2.866111457925687	NA	0.925780885605527	0.00014864	NA	15.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
IQUB	21.69686110945712	0.0013739178156984358	2.8620392449010357	0.0282682	0.0713635944913538	0.00963411	16.0	45.0	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PLEKHH2	21.60139903323495	0.0014295812020712337	2.8447911711140574	0.814451	0.000865159936316	0.0289304	25.0	101.0	72.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
HNRNPR	17.617243177417066	0.0014657916077820707	2.8339277691379197	NA	0.0008500566134159	0.175799	NA	20.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FOXA2	21.47387360997502	0.001507399562604204	2.8217716150816154	0.000249957	0.133411072074153	0.651554	7.0	22.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MIDN	21.452264374366905	0.0015209907754241063	2.8178734198684725	0.013613	0.0932130386091454	0.0173089	7.0	30.0	34.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PROK2	21.408873519096772	0.0015486450453345933	2.8100481125942918	0.0668988	0.0449422535537976	0.00746533	5.0	13.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SRP54	17.41812110405326	0.0016028034528108824	2.7951197306671527	NA	0.0058685214445006	0.0281303	NA	5.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SPATC1	21.223337264657324	0.0016725506827525766	2.7766207130780654	0.426345	0.0300595299357613	0.00192162	9.0	41.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SERINC3	21.182332257603676	0.0017012170439711682	2.7692402748731633	0.0531097	0.0102767518919163	0.0460559	12.0	42.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LIPF	17.179088172602697	0.0017840472868964018	2.7485936386560796	NA	0.705651890093891	0.000263644	NA	21.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FBXO34	21.062817809773417	0.0017875400512287819	2.7477442187113357	0.167828	0.664610499182651	0.000239241	7.0	20.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NEXMIF	12.653203350766235	0.0017880999999999988	2.747608196818756	NA	NA	0.0017881	NA	NA	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MEF2D	21.004511719511434	0.0018311947877043366	2.737265456503493	0.384535	0.0252241363919835	0.00283254	6.0	29.0	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FLJ37453	12.596827420562512	0.0018392200000000004	2.735366319118936	NA	NA	0.00183922	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ZNF786	20.989957268859776	0.0018422536157339886	2.7346505824280354	0.000735555	0.401688359915442	0.0936665	6.0	31.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CDK16	12.582427605395882	0.0018525100000000004	2.732239438985289	NA	NA	0.00185251	NA	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ABCD2	20.907800973512195	0.0019059141933448443	2.7198966557416058	0.699657	0.028975907299881	0.00142235	7.0	32.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CSNK1A1P1	12.511120619507242	0.0019197500000000002	2.7167553237389943	NA	NA	0.00191975	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CFI	20.874884720873396	0.0019320194983867378	2.7139884948982504	0.292949	0.003706706126469	0.0269958	8.0	39.0	25.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SNTG2	20.85904266320242	0.001944707909926843	2.7111456193423953	0.0456155	0.0063798374118002	0.10153	16.0	47.0	30.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NECAP1	16.947876399809505	0.001978545067950393	2.703654052782716	NA	0.0042519224546142	0.0491168	NA	13.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RPL18	16.930261062583003	0.001994192732727591	2.7002328707409458	NA	0.411066333907632	0.000512541	NA	17.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ANKRD23	20.790431122072658	0.0020006083962445355	2.6988379128600837	0.0637143	0.0008577401252718	0.559529	10.0	28.0	18.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SLC22A16	20.784123542634042	0.0020058256043579406	2.6977068292206203	0.0056974	0.15378618930262	0.0350099	10.0	33.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ZNF286A	20.76743996414747	0.002019689366105986	2.694715421127652	0.479535	0.0004767805086361	0.135291	5.0	26.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PRR15	12.409424511466558	0.0020198899369067995	2.6946722944624413	NA	0.0020198899369068	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GPR78	20.76562153527525	0.002021206099985142	2.6943893997342774	0.0019499	0.0711718389724237	0.223091	12.0	26.0	24.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NIPA2	16.868388252691904	0.002050127352921142	2.688219159942784	NA	0.0053008325029503	0.0409951	NA	19.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
C9	20.701316615797374	0.002075564215785794	2.6828638254606023	0.729476	0.0001556515322156	0.28158	9.0	42.0	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MVD	20.610910546436223	0.0021544102956678737	2.666671584150454	0.194542	0.351845257418057	0.000488689	19.0	42.0	33.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SRA1	20.53474376688669	0.0022231040804158654	2.653040204196127	0.705131	0.330684574823539	0.000149023	9.0	27.0	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PCP4L1	16.66200370283177	0.0022481233830725523	2.648179857196789	NA	0.0181124912468491	0.0133019	NA	8.0	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
AHI1	20.493026015196556	0.002261631346102287	2.6455781851760753	0.0226074	0.144100538162153	0.0108913	16.0	78.0	43.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PSAP	20.455688009908126	0.0022966666187283465	2.638902041877065	0.0387924	0.771520960879428	0.00120784	15.0	37.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RPS27A	20.438298719989078	0.0023131639403660446	2.6357935864800246	0.0545239	0.000734670538398	0.910333	5.0	4.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CXCL8	16.567940682733756	0.0023445048575240044	2.629948863119764	NA	0.0005070853610588	0.498008	NA	4.0	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TBC1D26	16.510568200766002	0.0024052787978847334	2.618834576934486	NA	0.000470627925717	0.552202	NA	28.0	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DPYD	20.34046868098131	0.0024081564076634645	2.6183153094494194	0.0201088	0.1405714959609	0.0135469	22.0	83.0	67.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PBK	20.29486599433244	0.0024537284632551943	2.6101734992433787	0.0586942	0.0009643614582376	0.692135	7.0	33.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RABGGTB	16.459470851961516	0.0024607107636638735	2.6089394310460348	NA	0.0413499108456666	0.00644758	NA	13.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ARAF	11.996696370148616	0.0024828500000000004	2.6050495173121573	NA	NA	0.00248285	NA	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GPR19	20.21252700213354	0.002538155005035807	2.5954818590828714	0.000166201	0.569882810487583	0.431009	4.0	23.0	14.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
IL6R	16.344620737249784	0.0025899384565721047	2.5867105557213317	NA	0.0087688238025124	0.032201	NA	13.0	7.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ATE1-AS1	11.89266116501454	0.002615419999999998	2.5824585595554566	NA	NA	0.00261542	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FCRL4	16.283787831892187	0.002661071706537817	2.574943422579725	NA	0.013465515013791	0.0216171	NA	15.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
